,기준분기코드,상권구분코드명,상권코드,상권코드명,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수
1362,3,골목상권,2110909,남태령역(서울전자고등학교),2,,,,,,,,,
1363,3,발달상권,2120222,삼성역,88,3.0,15.0,,1.0,,,,,
1364,3,발달상권,2120180,양재화물트럭터미널앞,8,,2.0,,,,,,,
1365,3,전통시장,2130273,남성사계시장(남성시장),39,,1.0,,,,,,,
1366,3,전통시장,2130271,남성역골목시장,28,,1.0,,,,,,,
1367,3,발달상권,2120173,교대역(법원.검찰청),175,1.0,13.0,,,,,,,
1368,3,발달상권,2120133,서울시흥동우체국(홈플러스시흥점),30,2.0,2.0,,,,,,,
1369,3,골목상권,2110736,독산119안전센터,13,,,,,,,,,
1370,3,골목상권,2110681,온수역 1번,20,,,,,,,,,
1371,3,골목상권,2110717,남구로역 2번,37,2.0,,,,,,,,
1372,3,골목상권,2110711,구로초등학교,14,,1.0,,,1.0,,,,
1373,3,전통시장,2130216,화곡중앙시장,17,,1.0,,,,,,,
1374,3,골목상권,2110640,방화역 1번,25,5.0,,,,,,,,
1375,3,골목상권,2110639,신방화역 8번,5,,,,,,,,,
1376,3,골목상권,2110697,개봉3동주민센터,7,,,,,,,,,
1377,3,골목상권,2110712,남구로역 5번,27,,,,,,,,,
1378,3,골목상권,2110679,염창역 2번,10,,,,,,,,,
1379,3,골목상권,2110676,등촌역 7번,2,,,,,,,,,
1380,3,골목상권,2110635,공항시장역 3번,18,,,,,,,,,
1381,3,골목상권,2110625,신정2동주민센터,24,3.0,,,,,,,,
1382,3,골목상권,2110596,서서울호수공원,3,,,,,,,,,
1383,3,전통시장,2130205,신곡종합시장(신월6동 골목시장),15,,1.0,,,,,,,
1384,3,골목상권,2110595,메디힐병원,21,3.0,,,,,,,,
1385,3,골목상권,2110626,양화초등학교,7,,,,,,,,,
1386,3,발달상권,2120087,응암역,25,1.0,,,,,,,,
1387,3,골목상권,2110472,연신내역 4번,14,,,,,,,,,
1388,3,골목상권,2110464,연신내역 5번,10,1.0,,,,,,,,
1389,3,골목상권,2110458,선일여고,17,,,,,,,,,
1390,3,발달상권,2120090,연신내역,98,,5.0,,,,,,,
1391,3,발달상권,2120196,서울세관,36,4.0,5.0,,,,,,,
1392,3,전통시장,2130130,수유북부골목시장,1,,,,,1.0,,,,
1393,3,골목상권,2111065,천일초등학교,1,,,,,,,,,
1394,3,골목상권,2111025,경찰병원역 3번,1,,,,,,,,,
1395,3,골목상권,2110925,서초중학교,2,,,,,,,,,
1396,3,골목상권,2110650,우장산힐스테이트,5,,,,,,,,,
1397,3,골목상권,2110772,신우어린이공원,2,,,,,,,,,
1398,3,전통시장,2130151,신도봉시장,1,,,,,1.0,,,,
1399,3,골목상권,2110141,건대입구역 1번,3,,,,,,,,,
1400,3,골목상권,2110982,강남구보훈회관,1,,,,,,,,,
1401,3,골목상권,2110723,가산디지털단지역 1번 출입구,4,,,,,,,,,
1402,3,골목상권,2110181,신설동역 9번,6,1.0,1.0,,,,,,,
1403,3,골목상권,2110796,한림대학교한강성심병원,1,,,,,,,,,
1404,3,골목상권,2110816,대방역 6번,8,1.0,,,,,,,,
1405,3,골목상권,2110540,망원나들목체육관,1,,,,,,,,,
1406,3,전통시장,2130075,노룬산시장(노룬산골목시장),6,,,,,1.0,,,,
1407,3,발달상권,2120163,사당역 11번(사당역먹자골목),2,1.0,,,,,,,,
1408,3,골목상권,2110722,G타워,5,,,,,,,,,
1409,3,골목상권,2110208,시조사삼거리,6,,,,,,,,,
1410,3,골목상권,2110027,혜화역 1번,5,,,1.0,,,,,,
1411,3,전통시장,2130101,답십리현대시장,5,,,,,2.0,,,,
1412,3,발달상권,2120176,논현역 4번,4,1.0,,,,,,,,
1413,3,골목상권,2110900,낙성대역 1번(관악구민 종합체육센터),7,,,,,1.0,,,,
1414,3,골목상권,2110793,대림썬프라자,4,,,,,2.0,,,,
1415,3,전통시장,2130197,마포시장,2,,,,,1.0,,,,
1416,3,골목상권,2110563,상수역 3번,2,,,,,,,,,
1417,3,골목상권,2110363,송천동주민센터,5,2.0,,,,,,,,
1418,3,골목상권,2110306,미아초등학교,4,,,,,,,,,
1419,3,골목상권,2110271,신내역 1번,3,,,,,,,,,
1420,3,전통시장,2130054,황학동주방가구거리상점가,7,,,,,,,,,
1421,3,전통시장,2130043,제일평화시장,3,,1.0,,,1.0,,,,
1422,3,전통시장,2130015,창신골목시장,10,1.0,1.0,,,,,,,
1423,3,골목상권,2110980,개포지구대옆,1,,,,,,,,,
1424,3,골목상권,2111036,투구봉어린이공원,4,,,,,,,,,
1425,3,골목상권,2110851,경문고등학교(동작동성당),7,,,,,,,,,
1426,3,골목상권,2110829,장승배기역 5번,5,1.0,,,,,,,,
1427,3,골목상권,2110644,신광명마을,5,,,,,,,,,
1428,3,골목상권,2110609,신정네거리역 2번,3,,,,,,,,,
1429,3,전통시장,2130170,제일시장,21,,1.0,,,,,,,
1430,3,전통시장,2130169,대조시장,21,1.0,,,,,,,,
1431,3,골목상권,2110248,먹골파출소,3,1.0,,,,,,,,
1432,3,전통시장,2130147,쌍문역동측상점가,11,,1.0,,,,,,,
1433,3,전통시장,2130002,세종마을음식문화거리(금천교시장),20,,,,,,,,,
1434,3,골목상권,2110956,언주역 8번,2,,,,,,,,,
1435,3,골목상권,2110878,미림여고,5,1.0,,,,,,,,
1436,3,전통시장,2130280,신림종합시장,1,,,,,1.0,,,,
1437,3,전통시장,2130244,대림중앙시장,2,,,,,,,,,
1438,3,골목상권,2110557,홍대부속여중고앞,15,,,,,,,,,
1439,3,골목상권,2110541,동교초등학교,14,1.0,,,,,,,,
1440,3,골목상권,2110525,홍은종합사회복지관,10,1.0,,,,,,,,
1441,3,골목상권,2110401,도봉구민회관,8,2.0,1.0,,,,,,,
1442,3,골목상권,2110293,삼선중학교,7,,,,,,,,,
1443,3,골목상권,2110295,정릉우체국,18,1.0,1.0,,,,,,,
1444,3,골목상권,2110259,사가정역 1번,16,,,,,,,,,
1445,3,골목상권,2110246,월드순복음교회,7,,,,,,,,,
1446,3,골목상권,2110077,삼광초등학교,5,,,,,,,,,
1447,3,발달상권,2120025,롯데백화점(시청광장 지하쇼핑센터),19,,2.0,,1.0,,,,,
1448,3,골목상권,2110091,리움미술관,3,3.0,,,,,,,,
1449,3,골목상권,2110111,대현산장미원,5,,,,,,,,,
1450,3,골목상권,2110063,효창공원앞역 5번,20,,,,,,,,,
1451,3,골목상권,2111051,천호역 6번,6,1.0,,,,,,,,
1452,3,골목상권,2111080,굽은다리역 3번,13,1.0,,,,,,,,
1453,3,골목상권,2111014,송파나루역 2번,3,,,,,,,,,
1454,3,골목상권,2111087,고덕중학교(고덕2동주민센터),6,1.0,,,,,,,,
1455,3,골목상권,2110753,시흥동 은행나무사거리,26,1.0,,,,,,,,
1456,3,골목상권,2110715,구로구민회관,8,,,,,,,,,
1457,3,골목상권,2110940,양재근린공원(양재2동주민센터),2,,,,,,,,,
1458,3,골목상권,2110678,염창무학아파트,6,,,,,,,,,
