,기준분기코드, 상권구분코드명,상권코드,상권코드명,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수
75,1,전통시장,2130257,영등포시장기계공구상가,188032,102961,85071,7556,60659,52585,23522,20850,22861,46690,40527,23843,24146,31620,21206,25764,25570,25853,26554,27241,29013,28037
76,1,전통시장,2130256,신동시장,27891,12819,15072,4182,3591,4503,4461,4864,6292,7355,5585,3186,3277,4744,3746,3956,3965,3928,3919,3915,4124,4084
77,1,전통시장,2130255,영등포전통시장,385851,211138,174713,13288,94130,91281,53912,56966,76275,74678,78232,57716,60300,72819,42105,54270,53951,54664,56494,57301,56957,52214
78,1,전통시장,2130254,남서울상가,29465,16214,13251,915,5495,5647,4363,5287,7758,4378,5567,4909,5294,6182,3135,4171,4166,4236,4394,4443,4295,3760
79,1,전통시장,2130253,영신상가(제일상가),31346,17269,14077,1026,6263,6098,4572,5491,7897,4793,5847,5141,5586,6618,3360,4388,4385,4463,4616,4721,4655,4118
80,1,전통시장,2130252,영등포로타리지하도상점가,47407,24070,23337,2923,12700,9982,6677,6951,8174,6200,8064,8123,9593,11099,4328,6197,6276,6476,6487,7030,7827,7113
81,1,전통시장,2130251,영등포시장지하도상점가,41970,23205,18766,1659,10554,8661,5771,6634,8693,7173,7450,6445,7215,9051,4638,5616,5619,5749,5869,6287,6690,6142
82,1,전통시장,2130250,삼구시장(로타리상가),31346,17269,14077,1026,6263,6098,4572,5491,7897,4793,5847,5141,5586,6618,3360,4388,4385,4463,4616,4721,4655,4118
83,1,전통시장,2130249,동남상가,32948,17886,15062,1156,6100,6616,4980,5684,8412,5710,6309,5201,5563,6559,3603,4701,4697,4776,4932,4973,4716,4153
84,1,전통시장,2130248,영등포역지하도상점가,26448,13300,13147,1716,5761,5439,4215,4163,5153,3564,5321,4375,4855,5781,2553,3730,3736,3791,3899,4034,3815,3444
85,1,전통시장,2130247,우리시장,333885,157025,176859,32626,38928,53271,52012,60976,96072,101157,68920,34496,34185,51373,43753,46347,46239,46853,46295,45417,50553,52180
86,1,전통시장,2130246,영등포청과시장(조광시장),878421,429350,449071,112094,130242,169689,139170,129997,197230,243486,189659,105490,100702,128955,110129,124172,124319,124266,125296,126418,128424,125525
87,1,전통시장,2130245,영일시장,171828,79474,92352,16155,32413,38804,32396,25747,26314,22348,32283,32305,36556,35113,13221,24349,24333,24729,24928,25350,25283,22855
88,1,전통시장,2130244,대림중앙시장,529262,272848,256414,30862,48270,81811,94866,130604,142849,156449,103707,55965,57025,86191,69925,73406,73634,73353,72023,70788,80238,85820
