,버스정류장ARS번호,역명,00시~06시승하차총승객수,06시~11시승하차총승객수,11시~14시승하차총승객수,14시~17시승하차총승객수,17시~21시승하차총승객수,21시~24시승하차총승객수
2865,9012,미아사거리역(00017),20369,76997,69895,103739,162546,73987
2866,9102,우이동도선사입구.북한산우이역(00002),1669,10899,5850,6522,6796,1958
2867,9103,우이동성원아파트(00003),1213,6329,2941,2839,3042,971
2868,9104,우이동성원아파트(00088),838,4580,3475,3359,4346,1817
2869,9105,진성빌라사거리(00038),1663,8250,3737,3814,4551,1357
2870,9106,서라벌중학교.우이동대우아파트(00005),2556,14280,7488,9302,8118,1991
2871,9107,덕성여대솔밭근린공원(00006),546,9630,9396,13481,14750,4192
2872,9108,국립4.19민주묘지입구사거리(00007),1162,9281,5620,6444,7687,2418
2873,9109,국립4.19민주묘지입구사거리(00108),1067,7594,6495,7591,11027,4830
2874,9110,국립4.19민주묘지입구사거리(00059),954,6086,5240,5973,9797,4373
2875,9111,국립4.19민주묘지입구사거리(00008),1478,10120,4402,4462,5193,1518
