,호선명,지하철역,00시~06시승하차총승객수,06시~11시승하차총승객수,11시~14시승하차총승객수,14시~17시승하차총승객수,17시~21시승하차총승객수,21시~24시승하차총승객수
216,7호선,사가정,1834443,29264204,12229431,14023363,27008770,10166557
217,7호선,용마산,566364,8196390,2863314,3163816,5916142,2672335
218,3호선,가락시장,1432085,29410035,14536296,16568395,28252420,9737149
219,8호선,문정,664490,33563981,9052457,11113902,28103868,6998209
220,2호선,삼성,555788,21491788,10404262,12463347,22817650,6895577
221,3호선,안국,555659,41332260,25006691,28593719,41438239,9516348
222,분당선,개포동,208234,6624199,3057532,3533347,5842416,2326416
223,경의선,강매,321039,5787984,1674422,1833517,4000419,1566765
224,경의선,일산,1123615,18212219,6801988,7701010,14636010,5728263
225,경부선,성환,320745,8215623,4361277,5149840,7039078,2130371
226,경부선,직산,114439,1845258,741094,815553,1561145,462925
227,경부선,천안,822312,10425720,8038668,9825584,11744827,3357951
228,안산선,산본,2024859,29438830,14912187,16704670,31536519,11669428
229,안산선,대야미,509226,8349303,3403010,3946833,6967696,2520839
230,안산선,반월,650249,8732014,3682529,4085486,7419675,2778377
231,안산선,상록수,2947481,36310186,13910250,15119846,32242034,13005982
232,안산선,한대앞,1195393,16658412,7313957,8115793,15342397,5749289
233,안산선,중앙,1859814,27743583,14862460,17058720,32101961,13184618
234,안산선,고잔,1085312,17032317,7427891,7743489,13740740,4808212
235,안산선,수리산,528541,9127648,3394677,3318121,5552336,2102322
236,안산선,안산,1903365,25896473,11461711,12779224,27042104,7010183
237,경의선,탄현,975919,14488259,5179651,5912356,12631648,4937823
238,경의선,야당,581479,8532138,3408611,4076711,8182712,3211183
239,경의선,금촌,705874,12582439,6166829,6736702,11115057,3759381
240,6호선,신내,119577,2497257,841364,1076796,1771342,481105
241,경춘선,금곡,206616,3062208,1274886,1386156,2212326,674507
242,경춘선,천마산,160171,3044753,1246366,1322920,2162288,721620
243,경춘선,대성리,92209,1391210,1358970,1253011,1094936,213853
244,경춘선,상천,21935,708399,494992,606898,464185,96346
245,경춘선,남춘천,352517,4222097,4011665,3797367,4494093,1560464
246,경부선,화서,1178101,16356482,5589813,6223491,13651723,4984223
247,경부선,수원,4620877,74409232,45975111,54502967,93607557,34070216
248,경부선,독산,1162922,35874575,9667208,11197262,30157903,8649364
249,경부선,세류,584416,7044962,2667466,2968060,6151092,2220605
250,경부선,오산대,340599,6017414,2633903,3225130,5180907,1658221
251,경부선,송탄,648274,7794904,4115981,4699217,7967273,3169906
252,경부선,서정리,725993,10079731,5155651,6010388,10137134,3253696
253,경부선,평택,1191464,21111284,13063331,15054884,23668036,8004119
254,3호선,홍제,1625576,34358467,15825592,17682332,29111806,10581421
255,3호선,충무로,1405811,53081055,24296378,27441595,53404287,17534782
256,중앙선,지평,77,127753,6981,76788,49045,6109
257,1호선,서울역,5011544,139070130,76660096,83547631,145558781,47117809
258,6호선,효창공원앞,645586,18148897,7360412,8202802,15397619,5025914
259,경의선,곡산,52992,1156139,441232,540112,935468,248331
260,경의선,운정,643543,11644830,3933316,4568432,9109201,3262145
261,경의선,파주,123283,2674837,1224685,1382504,2025230,514372
262,경원선,광운대,1569470,16852184,7598661,8248973,13530359,5593574
263,경춘선,갈매,227810,4364111,1291131,1602394,3249674,995937
264,경춘선,퇴계원,405734,7023317,2515186,2699530,5576261,1861072
265,경춘선,굴봉산,9343,330913,350976,329597,217965,42217
266,경춘선,백양리,14166,254810,287181,239969,233463,74801
267,경춘선,김유정,15860,713203,799392,814502,522749,69384
268,장항선,봉명,176744,2639949,1423297,1327044,1595388,491544
269,경인선,도화,703462,7479094,3270673,3716186,5604196,1996082
270,2호선,충정로,266234,7127149,2649443,2892924,6129448,2079770
271,3호선,지축,168506,4969068,1869391,2319309,4005101,1262950
272,3호선,동대입구,459663,18669071,10652824,10891496,18453039,6060687
273,3호선,압구정,1032487,57859776,30659899,35386040,61506386,16582249
274,3호선,매봉,408725,22464198,7872883,9162320,20174468,5659443
275,4호선,총신대입구,363119,8267238,4243290,4903018,9101474,3697386
276,중앙선,구리,1496420,24687548,11373772,12713504,23619454,8382664
277,중앙선,도농,1258025,18667426,6818817,7637418,14217130,5286738
278,중앙선,양정,86988,1621587,620207,759726,1284484,252500
279,중앙선,팔당,41890,1732772,1126991,1331385,1488565,370711
280,중앙선,운길산,44948,1706151,1239378,1504595,1270983,301507
281,중앙선,양수,149349,3578748,2296187,2630855,3019924,919850
282,중앙선,신원,19989,435586,254733,327748,300141,70451
283,중앙선,아신,83804,1272528,747232,818140,1048629,387995
284,중앙선,오빈,34268,635091,327080,357370,471291,154545
285,경의선,문산,795225,10681611,5473995,6188287,9031966,2972708
286,1호선,신설동,1781985,35473767,19262195,21052566,32254080,9159030
287,4호선,동작,103568,1785090,1018608,1074365,1439478,528922
288,2호선,사당,6061931,105897849,54193917,61547177,126146980,57446078
289,4호선,남태령,85578,3178662,1232072,1351957,2160721,417532
290,9호선,노량진,3704079,71080705,35447330,37596563,72444913,35952719
291,경부선,영등포,3589068,61406672,43958434,53074465,90499922,29549221
292,경원선,응봉,215203,3609664,1516476,1748068,2704602,911033
293,경원선,외대앞,1239173,16183800,9205510,10390876,16265250,7479275
294,경원선,신이문,1463868,17333214,6808597,7538495,13394194,5151068
295,경원선,월계,853415,11509496,5635467,6332601,9172144,3132971
296,2호선,선릉,2514573,123469266,46479358,56256797,112336972,32461291
297,분당선,대모산입구,343097,7265816,2969509,3311607,5327690,1901557
298,2호선,신촌,3021655,55310092,42546222,47967695,81166364,37639513
299,2호선,이대,982964,26584449,19596784,21092269,30179744,11488162
300,2호선,아현,904998,18168128,8462803,9926342,15803398,5927149
301,2호선,도림천,101606,2586306,932784,1154558,1765942,523716
302,3호선,녹번,1381457,27506267,9706825,10602319,20989173,8010685
303,4호선,당고개,1482532,23598066,9999827,10858370,18222311,7661696
304,4호선,상계,2327368,39022372,15070128,16349571,30363609,13194881
305,4호선,성신여대입구,393485,8676915,4837860,5446053,9505113,4312117
306,4호선,한성대입구,484439,6092753,3172002,3510567,5573029,2495624
307,경강선,여주,171712,2929315,1935612,2317492,2756382,815052
308,2호선,역삼,1896701,99744322,32711544,38796940,86976207,23035833
309,2호선,강남,5152411,133822047,74824367,89802584,170945341,73648096
310,2호선,서초,913499,43239823,18586059,20581353,35141963,10103428
311,2호선,방배,1155154,33835867,15787417,18390398,32192963,11630009
312,2호선,낙성대,1957790,34788837,13939819,15443586,31189644,15199062
313,2호선,서울대입구,1638562,18695096,8948493,10067534,18656366,9343551
314,2호선,봉천,2621414,43714057,17804764,19965802,36512503,15080428
315,2호선,신림,7990087,117130332,47062244,54311573,114401496,54172725
316,2호선,신대방,3834600,51345805,18962679,21718581,43043559,20102600
317,2호선,구로디지털단지,6571514,118067575,38223989,44168195,109072097,40742184
318,2호선,신도림,8557201,94627792,47984759,54682011,105611731,43258675
319,2호선,문래,1103571,39338400,13907628,15619140,35559389,10790017
320,2호선,상왕십리,1056000,24632829,9791269,11018696,21026427,7703222
321,2호선,한양대,440596,20040577,10766812,11779302,16094080,5672582
322,2호선,뚝섬,1022767,36041940,13130246,16072420,35028902,9823208
323,2호선,성수,1913134,62269079,19115922,23809858,57303912,14705630
324,2호선,건대입구,5578182,72264402,46340535,58428660,113570360,52767305
325,2호선,구의,569026,9568820,3885535,4420966,8319988,3744354
326,2호선,강변,642774,16690618,10027429,11391884,18404612,7554396
327,2호선,잠실나루,950522,29983368,14108402,15008818,23866988,8240513
328,4호선,혜화,1601588,48425057,37860766,46307602,68666210,30530834
329,경부선,구로,5520623,36889131,15259303,17279240,34216724,11006495
330,경의선,행신,798141,14586445,5413057,5627735,13194278,4943453
331,경의선,월롱,155533,4623433,1691009,2067879,4456626,1314269
332,경의선,임진강,71,23152,3121,18988,19201,3
333,경춘선,평내호평,939188,11037847,4575181,5018021,9559245,3573479
334,경춘선,가평,120988,3561892,3675662,3062045,3239323,720101
335,장항선,배방,151211,1757742,965286,982243,1709922,614695
336,과천선,경마공원,105126,8703853,7098952,6143692,12082851,1107123
337,경강선,곤지암,61804,3257352,1457845,1673141,3001397,789161
338,4호선,쌍문,3702886,59055288,22428019,24409083,47776956,19785964
339,4호선,명동,744537,41805738,32442872,39641234,62125532,23235384
340,경부선,남영,560063,20545304,8045258,9382296,18621533,6366557
341,분당선,한티,405124,23528937,13123325,14202055,25861782,9248356
342,경춘선,청평,133609,3458446,2711365,2622924,3001067,785917
343,경강선,이천,96467,3637140,1925745,2142081,3583676,1117955
344,경부선,오산,816121,17301771,8739088,10176601,17886966,5906484
345,경인선,중동,1600327,18266130,7507275,7876727,14746964,5811629
346,분당선,영통,627001,13387198,7435725,8641517,16008869,6861936
347,중앙선,도심,272647,5409011,1822228,1859507,3307076,1243139
348,경의선,서강대,88550,3632693,1923240,2158073,3408068,1567542
349,경의선,풍산,488544,9304651,3941140,4303780,7873631,3315609
350,경춘선,사릉,371990,7086020,2213358,2394402,5456203,1768285
351,경강선,삼동,82986,3424758,917197,1082244,2552958,805504
352,경부선,관악,1032853,16004703,6114862,6630445,12592814,4818152
353,경인선,부평,5028988,48198928,31447595,38604083,68747898,27378990
354,경인선,동암,3417700,33855311,14845136,16183750,31504856,13129669
355,경인선,주안,2947858,38556247,18796086,20716327,38562600,16347764
356,경인선,동인천,1866177,27544478,15275943,16781984,27193142,8704312
357,경인선,부개,1704667,17828039,7173549,7847964,14449052,5798011
358,수인선,월곶,201278,4383759,2222229,2402076,4180698,1527248
359,경원선,덕계,372096,5288605,1796992,2129994,3661867,1258147
360,경의선,수색,160390,5107002,1637095,1957125,4132343,969363
361,경의선,백마,643998,13285554,4488933,4997809,10474767,4261648
362,경춘선,별내,226763,4942525,1997351,2411605,4281589,1351630
363,장항선,아산,229841,4436867,2828277,3113209,5080414,1800640
364,과천선,과천,388799,10030937,4304260,4933171,7645389,2897913
365,과천선,범계,2110127,47861378,22591486,25832576,50970611,18444995
366,경강선,초월,93638,4264708,1405267,1636972,3569656,1240818
367,경강선,신둔도예촌,47757,1890482,810854,908969,1654865,542688
368,경부선,당정,641069,13484556,4850923,5300950,11197995,4546125
369,일산선,마두,700339,13663647,8310608,9110065,12134105,3941515
370,일산선,대화,1427058,26629107,11108716,11697070,18414584,6666775
371,경춘선,춘천,170650,2592536,2539965,3046756,2861312,690057
372,과천선,정부과천청사,506244,21840834,8595611,10097130,19491240,5310464
373,경강선,판교,69113,6209636,2042548,2485723,5974139,1493162
374,경강선,부발,147676,2589151,1131028,1339342,2546387,841253
375,경부선,의왕,1059814,17653482,5716953,6756117,15068501,5019056
376,경부선,병점,2223455,26992532,11857253,13821837,26570656,10008714
377,경부선,두정,844895,10914400,5819022,6208768,10369167,3921101
378,경부선,서동탄,220885,3077134,1032475,1244400,2468126,828745
379,경인선,제물포,1310397,19280513,7995151,9397097,15817530,5653215
380,경부선,세마,275495,5074781,1963844,2271521,4433326,1595160
381,경부선,평택지제,240137,1723808,614142,824055,1638253,540021
382,경인선,개봉,2826024,41924952,17814513,19971742,38499703,14243166
383,경인선,백운,1323978,15281895,6771308,7240104,12771935,5263868
384,수인선,야목,7802,181963,79269,91405,137995,37028
385,수인선,숭의,351354,5795126,2507879,2791426,4585550,1312308
386,분당선,압구정로데오,376360,26848316,14050080,17311897,34344359,9306482
387,분당선,기흥,797611,16092666,6564812,7424390,15311859,6107978
388,분당선,청명,396087,8029239,2888299,3393712,6799975,2641441
389,분당선,망포,1012575,23974661,7754591,9208177,24204783,8644351
390,분당선,매교,416455,5779889,2116718,2369218,4674893,1496283
391,수인선,오목천,31111,1787634,844815,959375,1509120,468143
392,수인선,어천,8775,464886,236842,278685,452409,105665
393,경원선,소요산,224406,5013248,6206050,6591753,3913090,645672
394,5호선,발산,938866,28548298,13298264,15813392,29367348,8949769
395,5호선,화곡,3364608,53726692,19910111,22332215,46762128,17947203
396,5호선,명일,836819,15536528,7124406,7836771,13821223,4934034
397,5호선,방이,514280,12643850,5616199,6597194,12268473,4648141
398,5호선,하남검단산,133909,2669982,1358495,1575912,2307443,778885
399,6호선,역촌,390580,7700993,3339191,3587008,6737175,2624399
400,6호선,독바위,390880,5938942,2249860,2451453,4499062,1877549
401,수인선,인천논현,400454,9559177,5028039,5851352,9999100,3635446
402,수인선,인하대,391709,8502959,4009111,4827343,7873654,2906456
403,경원선,가능,1256261,13718385,5819681,6021757,10710779,3845994
404,경원선,녹양,824926,9100547,3823036,4046592,7356690,2718700
405,경원선,보산,264142,3040521,1581706,1720515,2937733,912435
406,5호선,여의나루,430252,16536138,7634041,12450486,25173243,8330388
407,5호선,애오개,623427,13760876,5130022,5758452,11229207,3511687
408,5호선,서대문,657327,37338680,12389044,14138891,30261651,7537458
409,5호선,광화문,153133,13930545,5939121,7119637,14871851,4409176
