,Unnamed: 0,기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
49,50.0,2022,4,전통시장,2130061,이태원시장,CS100004,양식음식점,381227108,157638733.0,223588375.0,19076319.0,25871946.0,21761155.0,33355748.0,57573565.0,139686849.0,83901526.0,10932104.0,39484.0,41369202.0,73835674.0,198829204.0,56221440.0,211998061.0,124093032.0,1515071.0,151337814.0,110405752.0,39291658.0,23639176.0,9901623.0,14
50,51.0,2022,4,전통시장,2130058,이촌종합시장,CS100004,양식음식점,502274012,341296366.0,160977646.0,59685978.0,65871700.0,70883630.0,73651318.0,71203740.0,93843030.0,67134616.0,35560159.0,0.0,154035665.0,56229114.0,160784269.0,95664805.0,178226223.0,246631500.0,5217010.0,103223239.0,130176311.0,79799276.0,77700846.0,28741043.0,*
51,52.0,2022,4,전통시장,2130038,"평화시장(통일상가, 동화상가)",CS100004,양식음식점,841335423,434524285.0,406811138.0,81780298.0,69493384.0,87660102.0,88939328.0,106651173.0,235502374.0,171308764.0,0.0,308565.0,182976726.0,207416638.0,396029104.0,54604390.0,346001700.0,398007567.0,7853482.0,125966384.0,240020178.0,210484021.0,113422407.0,46262797.0,8
52,53.0,2022,4,전통시장,2130024,남대문시장(자유상가),CS100004,양식음식점,19731214,14045752.0,5685462.0,1945330.0,2037965.0,1238991.0,3346432.0,5477034.0,4156987.0,1528475.0,0.0,0.0,7445522.0,5245446.0,7040246.0,0.0,12366748.0,6044421.0,0.0,3867503.0,6820239.0,3786448.0,2153760.0,1783221.0,3
53,54.0,2022,4,전통시장,2130015,창신골목시장,CS100004,양식음식점,49254696,19148370.0,29347664.0,3396024.0,2163760.0,4325273.0,3970632.0,5292681.0,15559313.0,13788351.0,3820246.0,758662.0,10158893.0,12257561.0,16315730.0,5943604.0,28205861.0,18611240.0,118008.0,12663614.0,22604598.0,5251938.0,4098953.0,2079990.0,7
54,55.0,2022,4,전통시장,2130012,"동대문종합시장(동대문종합시장 신관, 동대문종합시장D동상가)",CS100004,양식음식점,83548963,75625043.0,7712212.0,13942470.0,16664426.0,15394180.0,15522716.0,14101251.0,7712212.0,0.0,0.0,3478057.0,66778682.0,13080516.0,211708.0,0.0,34130318.0,39853990.0,559514.0,11031487.0,16142718.0,19930774.0,15106862.0,11212951.0,*
55,56.0,2022,4,전통시장,2130010,종로신진시장,CS100004,양식음식점,52564017,42129848.0,10434169.0,7697089.0,5564890.0,8952216.0,12747833.0,7167820.0,6048794.0,4385375.0,,771222.0,28172256.0,5580013.0,18040526.0,,42848878.0,6418546.0,,813679.0,1546250.0,8934435.0,13481985.0,24491076.0,*
56,57.0,2022,4,전통시장,2130002,세종마을음식문화거리(금천교시장),CS100004,양식음식점,179752667,108137254.0,71615413.0,17118994.0,19717873.0,22206154.0,23614111.0,25480122.0,40486790.0,31128623.0,8794205.0,0.0,53860326.0,27336656.0,64755616.0,25005864.0,72337257.0,86540434.0,2529625.0,51266919.0,40412075.0,29683588.0,25663372.0,9322113.0,7
57,58.0,2022,4,발달상권,2120249,고덕역,CS100004,양식음식점,1384738363,883395774.0,501342589.0,152551382.0,177646602.0,177744507.0,172857290.0,202595993.0,304925865.0,196416724.0,0.0,179474.0,553304232.0,243364856.0,578114805.0,9774996.0,630596070.0,721106375.0,54693335.0,159677015.0,211292779.0,569329138.0,254278278.0,102431899.0,12
58,59.0,2022,4,발달상권,2120248,명일역,CS100004,양식음식점,145845341,90793848.0,52559163.0,20990241.0,16715933.0,23113982.0,4114517.0,25859175.0,26981596.0,25577567.0,0.0,0.0,51559606.0,24269973.0,67523432.0,2492330.0,66259475.0,77093536.0,2553919.0,20806095.0,33034385.0,47304608.0,28783011.0,10870993.0,10
59,60.0,2022,4,발달상권,2120246,길동역,CS100004,양식음식점,18856935,12014180.0,6842755.0,2501559.0,2094812.0,515785.0,3405994.0,3496030.0,3526797.0,3315958.0,0.0,0.0,5699882.0,4151620.0,7038210.0,1451438.0,9504778.0,7593058.0,100407.0,3751381.0,3770881.0,4145484.0,2969252.0,2360430.0,9
60,61.0,2022,4,발달상권,2120245,둔촌역,CS100004,양식음식점,327704226,191989308.0,135714918.0,9777106.0,51818874.0,36108835.0,44062797.0,50221696.0,62276717.0,73438201.0,13328140.0,2665010.0,129541959.0,40828983.0,107706267.0,33633867.0,164281526.0,136639948.0,4579409.0,54109104.0,85679558.0,91542918.0,47000692.0,18009787.0,11
61,62.0,2022,4,발달상권,2120243,천호역,CS100004,양식음식점,1006377601,515848514.0,490529087.0,111873113.0,93164395.0,86376419.0,108797855.0,115636732.0,276239966.0,214289121.0,14033619.0,0.0,187822747.0,213843633.0,448732521.0,141945081.0,449383949.0,446369486.0,5181698.0,173487713.0,292162597.0,255564484.0,126781348.0,42575595.0,18
62,63.0,2022,4,발달상권,2120242,강동구청역,CS100004,양식음식점,288474959,169680123.0,118794836.0,30335748.0,26613932.0,31198997.0,41679884.0,39851562.0,50297723.0,68497113.0,0.0,423465.0,98813642.0,43814932.0,127568087.0,17854833.0,111188483.0,116502644.0,308819.0,20930562.0,51761426.0,62123320.0,63555976.0,29011025.0,5
