,Unnamed: 0.1,Unnamed: 0,기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
1478,1553.0,115162,2022,1,발달상권,2120063,청량리역(청량리),CS100004,양식음식점,41038,26210.0,14816.0,5098.0,4978.0,5663.0,4807.0,5664.0,7989.0,6827.0,0.0,136.0,16288.0,9068.0,15534.0,12.0,18641.0,20999.0,535.0,9314.0,12276.0,9565.0,5065.0,2884.0,7
1479,1554.0,115210,2022,1,발달상권,2120062,신설동역,CS100004,양식음식점,6631,6146.0,480.0,1262.0,1231.0,1086.0,1272.0,1295.0,62.0,418.0,0.0,98.0,4600.0,775.0,1153.0,5.0,3437.0,2770.0,89.0,1421.0,1674.0,1349.0,1053.0,618.0,4
1480,1555.0,115240,2022,1,발달상권,2120061,올림픽대교북단,CS100004,양식음식점,2361,1640.0,721.0,260.0,294.0,341.0,358.0,387.0,314.0,407.0,0.0,0.0,965.0,406.0,965.0,25.0,813.0,1311.0,105.0,296.0,432.0,733.0,408.0,150.0,4
1481,1556.0,115279,2022,1,발달상권,2120060,강변역(테크노마트),CS100004,양식음식점,9104,6495.0,2599.0,1157.0,1266.0,1337.0,1360.0,1375.0,1333.0,1266.0,0.0,10.0,5176.0,1488.0,2430.0,0.0,4415.0,3973.0,246.0,1958.0,2221.0,2040.0,1165.0,760.0,5
1482,1557.0,115318,2022,1,발달상권,2120059,구삼강변맛길,CS100004,양식음식점,2411,2011.0,400.0,318.0,349.0,409.0,469.0,466.0,353.0,47.0,0.0,190.0,927.0,692.0,443.0,159.0,913.0,1363.0,35.0,480.0,654.0,509.0,509.0,90.0,10
1483,1558.0,115396,2022,1,발달상권,2120057,아차산역,CS100004,양식음식점,26539,17424.0,9115.0,3431.0,3330.0,3834.0,3532.0,3297.0,4036.0,5079.0,0.0,202.0,10192.0,5920.0,10225.0,0.0,13905.0,12634.0,448.0,4603.0,6861.0,7003.0,5186.0,2438.0,3
1484,1559.0,115442,2022,1,발달상권,2120056,구의역,CS100004,양식음식점,57,49.0,8.0,12.0,16.0,,13.0,8.0,4.0,4.0,,,29.0,4.0,16.0,8.0,33.0,24.0,,4.0,33.0,8.0,12.0,,11
1485,1560.0,115486,2022,1,발달상권,2120055,군자역,CS100004,양식음식점,4814,3309.0,1499.0,748.0,560.0,583.0,588.0,830.0,732.0,767.0,5.0,6.0,1824.0,701.0,2115.0,163.0,1825.0,2524.0,17.0,1747.0,1514.0,487.0,410.0,172.0,16
1486,1561.0,115568,2022,1,발달상권,2120053,건대입구역(건대),CS100004,양식음식점,64200,42614.0,21586.0,8152.0,8808.0,8759.0,8111.0,8784.0,11224.0,10362.0,61.0,107.0,19797.0,14655.0,26947.0,2633.0,28458.0,32585.0,2425.0,28260.0,14837.0,7586.0,6053.0,1879.0,45
1487,1562.0,115616,2022,1,발달상권,2120052,성수역,CS100004,양식음식점,17749,16293.0,1456.0,3343.0,2784.0,2954.0,4088.0,3124.0,813.0,643.0,0.0,115.0,14443.0,1187.0,1810.0,194.0,11472.0,4371.0,15.0,3526.0,5769.0,3364.0,1592.0,1579.0,17
