,index,기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
984,984,2022,3,골목상권,2110074,서울역 12번,CS100003,일식음식점,463914926,427310558.0,35964268.0,75416641.0,82856730.0,97137048.0,92097814.0,79802325.0,35964268.0,0.0,2658926.0,640100.0,199694177.0,16975036.0,128935387.0,115011300.0,150024899.0,134450236.0,2700868.0,99974377.0,104721591.0,49762179.0,23563014.0,3753107.0,8
985,985,2022,3,골목상권,2110069,숙대입구,CS100003,일식음식점,545641057,440828056.0,104813001.0,85701723.0,84389248.0,78814471.0,104543638.0,87378976.0,57724517.0,47088484.0,183720.0,817544.0,207311442.0,65549225.0,229162093.0,42617033.0,178276749.0,229522448.0,18455788.0,148114134.0,69726428.0,67581432.0,70310893.0,33610524.0,17
986,986,2022,3,골목상권,2110063,효창공원앞역 5번,CS100003,일식음식점,66000000,45136628.0,20863372.0,8786124.0,6775615.0,9268547.0,10317037.0,9989305.0,10509508.0,10353864.0,17660620.0,0.0,0.0,233546.0,15710202.0,32395632.0,43309901.0,19524865.0,88091.0,19016027.0,25974216.0,11346639.0,4609777.0,1800016.0,4
987,987,2022,3,골목상권,2110045,동대문역사문화공원역 5번,CS100003,일식음식점,392814419,348955833.0,43858586.0,50758270.0,79666403.0,64744570.0,78869209.0,74917381.0,27232601.0,16625985.0,9285785.0,735043.0,125346530.0,15456649.0,159159732.0,82830680.0,191504825.0,107291860.0,2020513.0,80637596.0,99207269.0,72231027.0,32905631.0,11794644.0,4
988,988,2022,3,골목상권,2110038,경향신문사,CS100003,일식음식점,86187739,68084710.0,18103029.0,10936217.0,12604404.0,14013936.0,14542874.0,15987279.0,8346749.0,9756280.0,0.0,351656.0,59798993.0,8477530.0,17559560.0,0.0,33465465.0,32297152.0,746906.0,10014937.0,16949248.0,20282717.0,11651155.0,6117656.0,*
989,989,2022,3,골목상권,2110020,서울국제고등학교,CS100003,일식음식점,55244452,48912997.0,6331455.0,10699338.0,9006290.0,10124856.0,11921251.0,7161262.0,6331455.0,0.0,0.0,2304006.0,31064556.0,4571535.0,17304355.0,0.0,22948865.0,20775562.0,2325282.0,21605368.0,5921111.0,4975800.0,7377073.0,1519792.0,3
990,990,2022,3,골목상권,2110014,경복고등학교,CS100003,일식음식점,17752058,17469158.0,70725.0,5118746.0,4031345.0,2201326.0,2590315.0,3527426.0,70725.0,0.0,0.0,123770.0,16744222.0,671891.0,167972.0,0.0,8712593.0,8226125.0,44203.0,989645.0,2770051.0,6790856.0,2704332.0,3683834.0,*
991,991,2022,3,골목상권,2110012,성곡미술관,CS100003,일식음식점,307221042,244953718.0,58316263.0,34317649.0,45695340.0,58833887.0,51282198.0,54824644.0,57240890.0,1075373.0,8874505.0,0.0,38361669.0,34894793.0,131200222.0,89938792.0,154425076.0,104172776.0,3951061.0,69240531.0,85056143.0,46523270.0,33766588.0,24011321.0,10
992,992,2022,3,골목상권,2110010,평창동서측,CS100003,일식음식점,146703138,127161351.0,19541787.0,21756503.0,22808268.0,30603345.0,26889116.0,25104119.0,16064954.0,3476833.0,0.0,180303.0,51842982.0,11371078.0,74546073.0,8762702.0,47263298.0,40087258.0,336565.0,4134938.0,8666540.0,13180113.0,26696791.0,34335608.0,3
993,993,2022,3,골목상권,2110008,배화여자대학교(박노수미술관),CS100003,일식음식점,108957022,76984046.0,31972976.0,925263.0,21356801.0,16544352.0,16541105.0,21616525.0,14750099.0,17222877.0,0.0,1174164.0,56602288.0,19289839.0,30965468.0,0.0,53227604.0,50892078.0,520187.0,18765571.0,28342739.0,27096181.0,21457157.0,7937847.0,4
994,994,2022,3,골목상권,2110006,부암동주민센터,CS100003,일식음식점,79498162,51612980.0,27885182.0,677409.0,9537473.0,16464402.0,11032252.0,13901444.0,13612003.0,14273179.0,0.0,0.0,23204343.0,9114232.0,43257332.0,3922255.0,42093421.0,25934133.0,173551.0,5618577.0,12112747.0,10626366.0,20005963.0,19490349.0,*
995,995,2022,2,관광특구,1001496,강남 마이스 관광특구,CS100003,일식음식점,4469930913,3203578255.0,1266352658.0,553161210.0,576466944.0,695652075.0,673805375.0,704492651.0,690021443.0,576331215.0,1681803.0,4099699.0,1893332854.0,775143111.0,1650552816.0,145120630.0,1495077311.0,1731208005.0,28870961.0,860729309.0,1072068100.0,644467100.0,375525491.0,244624356.0,20
996,996,2022,2,관광특구,1001495,잠실 관광특구,CS100003,일식음식점,1405386041,967301873.0,438084168.0,175968577.0,170611986.0,202870276.0,171007677.0,246843357.0,256351547.0,181732621.0,16439358.0,188661.0,252871115.0,113740149.0,635777910.0,386368848.0,665009171.0,477226419.0,4898441.0,349435581.0,365226571.0,164757584.0,178173684.0,79743728.0,44
997,997,2022,2,관광특구,1001494,종로?청계 관광특구,CS100003,일식음식점,3050618877,2647802918.0,402815959.0,429235918.0,543328727.0,543041199.0,560381617.0,571815457.0,302139149.0,100676810.0,126352498.0,1248697.0,801546069.0,99942021.0,1135572020.0,885957572.0,1378790215.0,622526234.0,2653963.0,379750184.0,670940830.0,461652379.0,290492876.0,195826215.0,38
998,998,2022,2,관광특구,1001493,동대문패션타운 관광특구,CS100003,일식음식점,982863009,737606289.0,245256720.0,142758818.0,138014254.0,156278608.0,150101293.0,150453316.0,189277023.0,55979697.0,0.0,1849463.0,385566856.0,225175654.0,348167360.0,22103676.0,432250361.0,486838597.0,12218059.0,276725526.0,269958401.0,185212560.0,120668386.0,54306026.0,11
999,999,2022,2,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,CS100003,일식음식점,6135590782,5562743755.0,572847027.0,980982334.0,1151958542.0,1142053439.0,1206036437.0,1081713003.0,349550982.0,223296045.0,3453997.0,12103440.0,2738055486.0,373212979.0,1714184418.0,1294580462.0,2154824529.0,1562728226.0,23315467.0,719269992.0,1193047974.0,850879444.0,596441370.0,334598509.0,78
1000,1000,2022,2,관광특구,1001491,이태원 관광특구,CS100003,일식음식점,1019588116,658424148.0,361163968.0,110285618.0,112005951.0,131768307.0,132362663.0,172001609.0,241116032.0,120047936.0,93709885.0,174201.0,111715428.0,42602906.0,378767089.0,392618607.0,426495597.0,373109014.0,4873079.0,252292874.0,293623652.0,133711601.0,76900440.0,38202967.0,22
