,기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
695,2022,3,발달상권,2120085,은행사거리,CS100003,일식음식점,11771,8410,3361,659.0,1839.0,1904.0,1996.0,2012.0,1914.0,1447.0,0.0,3.0,2881.0,2249.0,5114.0,1524.0,5007,6031,853.0,1320.0,1028.0,3953.0,3034.0,853.0,7
696,2022,3,발달상권,2120084,공릉역,CS100003,일식음식점,1567,1436,131,279.0,233.0,318.0,251.0,355.0,131.0,0.0,0.0,6.0,610.0,85.0,729.0,137.0,763,678,39.0,700.0,291.0,136.0,227.0,45.0,3
697,2022,3,발달상권,2120081,노원역,CS100003,일식음식점,44337,33937,10400,6399.0,6723.0,6739.0,6630.0,7446.0,5999.0,4401.0,96.0,133.0,15169.0,8772.0,17407.0,2760.0,22080,20744,2896.0,12518.0,8093.0,7786.0,7963.0,3563.0,38
698,2022,3,발달상권,2120080,마들역,CS100003,일식음식점,3947,3008,939,487.0,532.0,678.0,566.0,745.0,485.0,454.0,0.0,0.0,1624.0,439.0,1753.0,131.0,1845,2070,82.0,553.0,872.0,1046.0,867.0,497.0,*
699,2022,3,발달상권,2120079,창동역,CS100003,일식음식점,23452,18312,5140,1907.0,3929.0,3925.0,4157.0,4394.0,4000.0,1140.0,34.0,554.0,10907.0,5324.0,5959.0,674.0,12895,10359,636.0,5154.0,5985.0,4339.0,4647.0,2492.0,10
700,2022,3,발달상권,2120078,미아사거리역,CS100003,일식음식점,4128,3070,1058,557.0,614.0,495.0,640.0,764.0,675.0,383.0,124.0,27.0,812.0,387.0,1638.0,1167.0,2379,1527,52.0,765.0,768.0,862.0,890.0,570.0,9
701,2022,3,발달상권,2120077,미아역,CS100003,일식음식점,4282,3779,503,697.0,687.0,764.0,854.0,777.0,492.0,11.0,0.0,0.0,1302.0,266.0,2256.0,458.0,2213,1696,32.0,570.0,817.0,934.0,871.0,686.0,5
702,2022,3,발달상권,2120076,수유역,CS100003,일식음식점,67041,45014,22027,9309.0,7736.0,8551.0,8561.0,10857.0,10739.0,11288.0,403.0,33.0,18525.0,16245.0,25931.0,5904.0,36455,28513,1099.0,14887.0,15863.0,14535.0,10966.0,7616.0,23
703,2022,3,발달상권,2120075,월곡역,CS100003,일식음식점,638,596,42,110.0,141.0,103.0,134.0,108.0,42.0,0.0,0.0,0.0,304.0,54.0,165.0,115.0,328,183,0.0,48.0,85.0,115.0,194.0,67.0,7
704,2022,3,발달상권,2120074,안암역,CS100003,일식음식점,6971,6016,955,875.0,1022.0,1200.0,1446.0,1473.0,955.0,6.0,0.0,0.0,3280.0,368.0,3323.0,0.0,3712,3125,165.0,3415.0,1284.0,680.0,1005.0,288.0,3
705,2022,3,발달상권,2120072,성신여대,CS100003,일식음식점,35684,25809,9875,4332.0,5326.0,5052.0,5088.0,6011.0,5234.0,4641.0,478.0,39.0,10590.0,6423.0,15247.0,2907.0,16110,18457,1696.0,11046.0,6185.0,6213.0,6829.0,2605.0,27
706,2022,3,발달상권,2120071,성북구청,CS100003,일식음식점,671,392,279,0.0,101.0,122.0,68.0,101.0,163.0,116.0,0.0,0.0,0.0,0.0,370.0,301.0,421,229,5.0,112.0,128.0,155.0,213.0,43.0,*
707,2022,3,발달상권,2120070,한성대입구역,CS100003,일식음식점,528,444,84,79.0,95.0,72.0,56.0,142.0,84.0,22.0,12.0,0.0,107.0,40.0,275.0,201.0,366,151,6.0,135.0,118.0,124.0,84.0,56.0,3
708,2022,3,발달상권,2120069,상봉역,CS100003,일식음식점,36053,23907,12146,4263.0,4433.0,4767.0,5103.0,5341.0,5785.0,6361.0,34.0,32.0,10458.0,9895.0,13144.0,2524.0,19441,15804,789.0,7986.0,8593.0,8368.0,6022.0,3488.0,5
709,2022,3,발달상권,2120068,사가정역,CS100003,일식음식점,2672,2027,645,305.0,430.0,439.0,397.0,456.0,438.0,207.0,0.0,0.0,905.0,486.0,1083.0,198.0,1562,1073,16.0,493.0,521.0,378.0,708.0,519.0,5
