기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2022,4,발달상권,2120152,신대방삼거리역,CS100006,패스트푸드점,10494,6731,3763,1414,1272,1160,1287,1598,1726,2037,,,1230,1541,6097,1626,5965,4529,355,3345,2250,2036,1866,642,9
2022,4,발달상권,2120151,보라매공원,CS100006,패스트푸드점,53060,39984,13076,7259,8290,8146,8365,7924,7078,5998,14,3729,16496,8251,15548,9022,27237,23842,428,14084,17805,10168,5395,3197,11
2022,4,발달상권,2120149,여의도역(여의도),CS100006,패스트푸드점,44798,36366,8432,5964,7461,7599,7869,7473,4928,3504,,2519,19333,6517,14810,1619,20488,16392,654,10373,11653,7451,4544,2207,26
2022,4,발달상권,2120148,국회의사당역(국회의사당),CS100006,패스트푸드점,108483,88895,19588,16330,17496,18491,18424,18154,9724,9864,269,10311,49960,14055,29097,4791,58936,37372,677,27519,34337,19522,10466,3787,20
2022,4,발달상권,2120147,보라매역,CS100006,패스트푸드점,3615,2607,1008,437,543,571,448,608,618,390,,10,961,647,1768,229,1864,1370,10,476,913,685,742,410,6
2022,4,발달상권,2120146,한강성심병원,CS100006,패스트푸드점,550,243,307,44,32,38,51,78,243,64,6,,31,186,231,96,263,243,51,121,103,83,103,44,*
2022,4,발달상권,2120145,영등포역(영등포),CS100006,패스트푸드점,106586,68198,38388,13201,12602,13056,13360,15979,21079,17309,2396,8543,26430,20489,33986,14742,54901,48756,1913,35619,33331,17802,10212,4779,21
2022,4,발달상권,2120144,영중로,CS100006,패스트푸드점,1659,1167,492,187,186,301,186,307,229,263,57,7,379,258,665,293,966,471,7,229,315,372,394,122,3
2022,4,발달상권,2120143,당산역,CS100006,패스트푸드점,17764,13163,4601,2310,2770,2824,2715,2544,3094,1507,,3518,5260,2986,5955,45,8075,8841,207,5521,5359,2716,1984,1127,6
2022,4,발달상권,2120142,대림역,CS100006,패스트푸드점,16428,11479,4949,1934,2258,2209,2683,2395,2648,2301,,657,4954,3615,6289,913,7739,8675,501,3376,4264,3865,2774,1632,*
2022,4,발달상권,2120141,영등포청과시장교차로,CS100006,패스트푸드점,1809,1010,799,132,121,248,137,372,362,437,,18,536,339,698,218,869,724,,189,475,238,376,316,4
2022,4,발달상권,2120140,문래동주민센터,CS100006,패스트푸드점,10987,8716,2271,1689,1863,1437,1339,2388,1339,932,,,7570,971,2446,,3320,6639,19,2408,3474,2330,1495,233,*
2022,4,발달상권,2120139,대림3동사거리,CS100006,패스트푸드점,2526,1597,929,359,312,264,338,324,502,427,,,326,380,1550,270,1462,1036,,514,454,665,529,336,3
2022,4,발달상권,2120138,당산2동(영등포우체국),CS100006,패스트푸드점,4460,3948,512,664,864,813,784,823,242,270,,1024,1344,486,1507,99,1216,2625,5,880,1204,866,589,298,4
