,상권코드,상권코드명,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
352,2110436,상계제일중학교,92517,1485814,651623,741515,1252078,503790
353,2110697,개봉3동주민센터,51628,417054,216369,243762,375871,125689
354,2111040,거여초등학교,21644,235857,109543,134765,195753,79498
355,2110889,봉천역 6번,159885,2002177,914645,1077316,1768666,683663
356,2110858,신대방역 1번,145146,1905921,720673,846595,1600702,700850
357,2110964,싸리고개근린공원,29033,404304,173647,215646,355062,133378
358,2110975,매봉역 1번,30182,976998,374180,461581,897091,249590
359,2110511,연희초등학교,49528,585283,380077,436258,591159,236992
360,2110165,국립정신건강센터,61626,911739,380874,457833,741993,251535
361,2110508,서연중학교,66665,554522,377182,447578,618177,226748
362,2111069,천호1동주민센터,6500,147949,70971,84471,124260,49687
363,2110161,중곡역 3번,65947,858424,353998,415740,715714,240611
364,2110660,등촌3동주민센터,22600,249745,136413,157925,218692,81583
365,2110560,마포FM,11088,243823,126320,157978,228344,80097
366,2110153,중곡1동주민센터,74132,367042,189446,219969,352000,145896
367,2110674,강서구청가양동별관,98075,1760879,689928,797922,1494365,464135
368,2110229,장평중학교,34701,410431,190422,228728,452245,172564
369,2110652,양천향교역 2번,36608,717883,279655,326521,646052,215686
370,2110032,수족관거리,356113,3732812,2919007,3270925,3665207,1278815
371,2110497,가좌역 3번,85852,850869,438256,529550,774553,287394
372,2110225,촬영소사거리,27693,272894,125219,154820,244003,83698
373,2110171,중곡4동주민센터,14245,234822,110688,132038,181217,64642
374,2110198,동대문중앙새마을금고본점,174519,1293962,1034133,1215265,1290009,397595
375,2110015,청와대사랑채,15636,398445,258521,306212,335643,117858
376,2110186,종암초등학교,52023,325305,236589,272278,384139,186565
377,2110259,사가정역 1번,120809,1492357,686209,816704,1410852,474130
378,2110702,개봉초등학교,39315,333595,183279,211574,299831,113364
379,2110919,내방역 8번,34236,1161198,449115,527921,993405,271186
380,2110845,사당종합체육관,9792,169271,87556,84086,114326,47463
381,2111027,문정초등학교,66488,1647331,522805,657309,1484994,372091
382,2110591,충정로역 6번,65549,488655,271294,349623,556793,236340
383,2111090,강일동주민센터,33984,268756,112185,133529,187622,71654
384,2111021,방이역 4번,26767,530863,262881,322019,550341,206281
385,2110655,발산역 5번,88003,1509257,808497,1000547,1642898,528951
386,2110039,회현역 1번,95382,802513,752346,876439,935148,291720
387,2110541,동교초등학교,18281,256120,142231,178089,260175,106350
388,2110004,대신고등학교,116766,1187929,676033,790621,939417,331369
389,2110162,군자역 4번,85090,503074,259418,306618,449449,173961
390,2110041,남산케이블카,36725,1293078,988070,1212461,1852487,547766
391,2110520,경의중앙 신촌역,208127,2655174,1877975,2138006,3217944,1371393
392,2110147,능동우편취급국,75929,407601,215976,245343,387495,164021
393,2110636,방화역 2번,48366,556446,277124,324393,457568,152447
394,2110185,용두초등학교,153618,1725359,921591,1046608,1531673,475709
395,2110115,상왕십리역 3번,110548,1356799,619358,736437,1265351,470903
396,2110057,황학코아루아파트,113036,1546262,876323,1010911,1623341,635030
397,2110437,당고개역 2번,45054,576022,261332,292695,441939,169770
398,2110524,연희세브란스병원,18493,403576,242086,285502,312794,112936
399,2110534,경기대학교,30473,386000,200207,252714,367625,141286
400,2110152,중곡어린이공원,37923,186513,99959,115496,169891,66032
401,2110548,마포구청역 4번,72534,1103803,504538,574782,986216,344486
402,2110722,G타워,53837,577960,205841,233890,448642,148156
403,2110537,충정로현대아파트,119708,2218517,853940,1043478,1907907,568761
404,2110119,마장지하차도,59003,650947,330385,381123,598257,219956
405,2110226,장안1동주민센터,42664,519176,221899,262636,449150,166950
406,2110218,답십리사거리,34682,414114,198787,231071,336894,118097
407,2110038,경향신문사,150594,2392987,913290,1072127,1916118,519311
408,2110536,돈의문센트레빌아파트입구,153531,2366525,959689,1154026,1885540,548797
409,2110158,중곡3동주민센터,77513,909880,374417,441703,755875,260102
